Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989]
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..
